date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:29:17	9028/9028	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2008%20Nov%202017%2020:59:46%20GMT	https://demo.htmlcodex.com/pro/startup/lib/waypoints/waypoints.min.js	C:/Users/user/Downloads/pentagon%20update/demo.htmlcodex.com/pro/startup/lib/waypoints/waypoints.min.js	(from https://demo.htmlcodex.com/pro/startup/index-1.html)
09:29:18	2406/2406	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2012%20Feb%202018%2018:08:38%20GMT	https://demo.htmlcodex.com/pro/startup/lib/counterup/counterup.min.js	C:/Users/user/Downloads/pentagon%20update/demo.htmlcodex.com/pro/startup/lib/counterup/counterup.min.js	(from https://demo.htmlcodex.com/pro/startup/index-1.html)
09:29:19	42766/42766	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2001%20Mar%202017%2009:43:12%20GMT	https://demo.htmlcodex.com/pro/startup/lib/owlcarousel/owl.carousel.min.js	C:/Users/user/Downloads/pentagon%20update/demo.htmlcodex.com/pro/startup/lib/owlcarousel/owl.carousel.min.js	(from https://demo.htmlcodex.com/pro/startup/index-1.html)
09:29:21	35503/35503	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2010%20Jan%202018%2016:58:56%20GMT	https://demo.htmlcodex.com/pro/startup/lib/isotope/isotope.pkgd.min.js	C:/Users/user/Downloads/pentagon%20update/demo.htmlcodex.com/pro/startup/lib/isotope/isotope.pkgd.min.js	(from https://demo.htmlcodex.com/pro/startup/index-1.html)
09:29:22	9418/9418	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2026%20Nov%202017%2020:18:24%20GMT	https://demo.htmlcodex.com/pro/startup/lib/lightbox/js/lightbox.min.js	C:/Users/user/Downloads/pentagon%20update/demo.htmlcodex.com/pro/startup/lib/lightbox/js/lightbox.min.js	(from https://demo.htmlcodex.com/pro/startup/index-1.html)
09:29:23	4099/4099	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2005%20Aug%202021%2017:44:02%20GMT	https://demo.htmlcodex.com/pro/startup/js/main.js	C:/Users/user/Downloads/pentagon%20update/demo.htmlcodex.com/pro/startup/js/main.js	(from https://demo.htmlcodex.com/pro/startup/index-1.html)
09:29:23	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265fd6d96-302c%22	https://demo.htmlcodex.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/Users/user/Downloads/pentagon%20update/demo.htmlcodex.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://demo.htmlcodex.com/pro/startup/index-1.html)
09:29:23	85120/85120	---M--	200	added ('OK')	font/woff2	etag:W/%2214c80-7RZ9M14uDLAKgvLXNn8Fy01lV88%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-icons.woff2?231ce25e89ab5804f9a6c427b8d325c9	C:/Users/user/Downloads/pentagon%20update/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-iconsfb95.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
09:29:24	113532/113532	---M--	200	added ('OK')	font/woff	etag:W/%221bb7c-47yt78jTFi+euyu4fJGbVQNZ9TA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-icons.woff?231ce25e89ab5804f9a6c427b8d325c9	C:/Users/user/Downloads/pentagon%20update/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-iconsfb95.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
09:29:24	4976/4976	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Mar%202017%2009:43:12%20GMT	https://demo.htmlcodex.com/pro/startup/lib/owlcarousel/assets/owl.video.play.png	C:/Users/user/Downloads/pentagon%20update/demo.htmlcodex.com/pro/startup/lib/owlcarousel/assets/owl.video.play.png	(from https://demo.htmlcodex.com/pro/startup/lib/owlcarousel/assets/owl.carousel.min.css)
